RFD	NC_000913	100	0	0.4981550781147777	0.5668344102670995	0.5324947441909386
FGS	NC_000913	100	0	0.6258603093188182	0.5477281055331623	0.5867942074259902
RFD	NC_000913	100	1	0.33866445113718974	0.5455001672800268	0.44208230920860825
FGS	NC_000913	100	1	0.6190154740886904	0.5312388591800357	0.575127166634363
RFD	NC_000913	100	3	0.2054375889140629	0.5177954847277556	0.3616165368209093
FGS	NC_000913	100	3	0.5746351230307182	0.5086516487104146	0.5416433858705664
RFD	NC_000913	200	0	0.5132692583560465	0.6382067899399488	0.5757380241479977
FGS	NC_000913	200	0	0.5832735618992971	0.5413153456998314	0.5622944537995642
RFD	NC_000913	200	1	0.2167591352592309	0.6084854994629431	0.412622317361087
FGS	NC_000913	200	1	0.6299980868567056	0.5739933763290919	0.6019957315928988
RFD	NC_000913	200	3	0.09383686379756542	0.5755437977660199	0.33469033078179267
FGS	NC_000913	200	3	0.6021278635100163	0.5585489463857028	0.5803384049478596
RFD	NC_000913	400	0	0.4616076245279626	0.6658884565499351	0.5637480405389489
FGS	NC_000913	400	0	0.5298507462686567	0.5111458062277734	0.5204982762482151
RFD	NC_000913	400	1	0.0803234501347709	0.5738125802310655	0.3270680151829182
FGS	NC_000913	400	1	0.6185085354896676	0.5949870354364737	0.6067477854630706
RFD	NC_000913	400	3	0.015728328865058087	0.5866666666666667	0.30119749776586235
FGS	NC_000913	400	3	0.6159070598748883	0.5985756470383881	0.6072413534566381
RFD	NC_000913	700	0	0.3945588687365509	0.5953153988868275	0.4949371338116892
FGS	NC_000913	700	0	0.4658776513987089	0.45827033565164804	0.4620739935251785
RFD	NC_000913	700	1	0.09282635467980295	0.36172765446910615	0.22727700457445454
FGS	NC_000913	700	1	0.5777401477832512	0.5668328047122791	0.5722864762477652
RFD	NC_000913	700	0.5	0.18462012636769917	0.45865237366003064	0.3216362500138649
FGS	NC_000913	700	0.5	0.5530898443519803	0.5423908115460179	0.5477403279489991
RFD	NC_000921	100	0	0.8248159977780863	0.9565952649379932	0.8907056313580397
FGS	NC_000921	100	0	0.9355645049298709	0.8926134481616429	0.9140889765457569
RFD	NC_000921	100	1	0.45096153846153847	0.9121978327313143	0.6815796855964263
FGS	NC_000921	100	1	0.8237637362637362	0.7928344791115812	0.8082991076876587
RFD	NC_000921	100	3	0.225	0.8528795811518325	0.5389397905759162
FGS	NC_000921	100	3	0.6908839779005524	0.7353719494266392	0.7131279636635959
RFD	NC_000921	200	0	0.7650781350897585	0.986511240632806	0.8757946878612823
FGS	NC_000921	200	0	0.9660338370140772	0.9405255878284924	0.9532797124212848
RFD	NC_000921	200	1	0.19511561444531048	0.9482323232323232	0.5716739688388168
FGS	NC_000921	200	1	0.8755520914523253	0.8572882218265072	0.8664201566394163
RFD	NC_000921	200	3	0.0506426735218509	0.8716814159292036	0.46116204472552724
FGS	NC_000921	200	3	0.7316195372750642	0.7687736358725014	0.7501965865737827
RFD	NC_000921	400	0	0.6949152542372882	0.9893541518807665	0.8421347030590274
FGS	NC_000921	400	0	0.9531405782652044	0.9386352479135984	0.9458879130894013
RFD	NC_000921	400	1	0.05801376597836775	0.6276595744680851	0.3428366702232264
FGS	NC_000921	400	1	0.8736479842674533	0.8580395943988411	0.8658437893331472
RFD	NC_000921	400	3	0.0066157760814249365	0.52	0.2633078880407125
FGS	NC_000921	400	3	0.7256997455470738	0.7342945417095778	0.7299971436283258
RFD	NC_000921	700	0	0.6866379310344828	0.9857673267326733	0.836202628883578
FGS	NC_000921	700	0	0.946551724137931	0.9408740359897172	0.9437128800638241
RFD	NC_000921	700	1	0.11686071582578697	0.49183303085299457	0.30434687333939076
FGS	NC_000921	700	1	0.8680465717981889	0.8602564102564103	0.8641514910272996
RFD	NC_000921	700	0.5	0.24642702468601127	0.6329254727474972	0.43967624871675426
FGS	NC_000921	700	0.5	0.895625812039844	0.8848951647411211	0.8902604883904826
RFD	NC_000964	100	0	0.6261936098121027	0.7060495074513766	0.6661215586317397
FGS	NC_000964	100	0	0.7126935678082383	0.6493761641109381	0.6810348659595882
RFD	NC_000964	100	1	0.41110676136681396	0.6794528144930215	0.5452797879299177
FGS	NC_000964	100	1	0.686762485319613	0.6146146146146146	0.6506885499671138
RFD	NC_000964	100	3	0.2433556217340001	0.6452622169249106	0.4443089193294554
FGS	NC_000964	100	3	0.632522335225038	0.5899276805366314	0.6112250078808347
RFD	NC_000964	200	0	0.597853728003255	0.7807000066414292	0.6892768673223422
FGS	NC_000964	200	0	0.6683450310243109	0.6446722919937206	0.6565086615090157
RFD	NC_000964	200	1	0.2198646054359907	0.7524204702627939	0.4861425378493923
FGS	NC_000964	200	1	0.6993028190360715	0.6683727667793337	0.6838377929077026
RFD	NC_000964	200	3	0.08181818181818182	0.6828644501278772	0.3823413159730295
FGS	NC_000964	200	3	0.6553626149131767	0.6434660515494935	0.6494143332313351
RFD	NC_000964	400	0	0.5294287919722115	0.792689973995955	0.6610593829840832
FGS	NC_000964	400	0	0.6100926283288306	0.6052455250311094	0.6076690766799699
RFD	NC_000964	400	1	0.07796934865900383	0.6002949852507374	0.33913216695487064
FGS	NC_000964	400	1	0.7019157088122605	0.6977718529803847	0.6998437808963226
RFD	NC_000964	400	3	0.013971291866028707	0.6083333333333333	0.311152312599681
FGS	NC_000964	400	3	0.6660287081339713	0.6639954207212364	0.6650120644276039
RFD	NC_000964	700	0	0.45754795663052544	0.707688338493292	0.5826181475619088
FGS	NC_000964	700	0	0.5452877397831526	0.5454697146671116	0.545378727225132
